Aporte_CHCP,Aporte_Gatun,Aporte_Alhajuela,Evaporacion,Nivel_Lago_Gatun,ACL,ESC,GAM,GAT,GTW,ONI,Año,Mes,Dia
295.81450470845454,182.60217062910107,113.21233407935352,1.0582829037061487,26.502150979166668,724.0,709.0,380.0,755.0,797.0,-0.77,2017,11,14
270.574548398208,167.66943726990058,91.51806113498183,1.0582829037061487,26.851039897803687,548.0,398.0,120.0,502.0,472.0,-0.86,2017,12,14
104.59339905446726,57.313264616023375,37.43172402537207,1.7265929038971202,26.834098912544256,78.0,199.0,3.0,138.0,134.0,-0.77,2018,1,14
55.80946354868078,28.855090669749536,26.95437287893126,2.077547593923113,26.32257511506144,29.0,47.0,1.0,6.0,3.0,-0.71,2018,2,14
57.13048330709059,30.211023370494622,26.919459936595963,1.90364098178351,25.97810990635636,188.0,218.0,28.0,88.0,111.0,-0.57,2018,3,14
130.821573899971,82.43153019359218,48.39004370637876,1.2590160239217278,25.709241825,191.0,205.0,169.0,239.6484375,332.0,-0.39,2018,4,14
238.5984838247761,148.80190212776122,89.79658169701484,0.8713405343870765,25.73042988126443,467.0,441.0,254.0,304.0,357.0,-0.13,2018,5,14
217.33174278680016,133.3327415427661,83.99900124403405,0.8525447903896288,26.30915280788618,413.0,305.0,361.0,422.0,424.0,0.06,2018,6,14
180.9049516255116,110.96898881435618,69.93596281115538,0.8174985870219642,26.418580455645163,358.0,323.0,285.0,287.0,295.0,0.14,2018,7,14
241.1455624445357,157.36111615706844,83.78444628746726,0.8799110412402602,26.304950790322582,335.0,329.0,235.0,254.0,275.0,0.27,2018,8,14
275.1381313582663,181.216691266621,93.92144009164528,1.0694435448768336,26.5055429375,501.0,394.0,420.0,402.0,355.0,0.53,2018,9,14
301.25563031715404,170.21750963123282,131.03812068592117,0.908652609472926,26.66846729435484,412.0,360.0,129.0,423.0,440.0,0.81,2018,10,14
123.47698772707068,66.14182231172036,57.335165415350346,1.1008307312375365,26.918125191666668,146.0,303.0,127.0,195.0,231.0,0.97,2018,11,14
53.192514921326485,27.29247140682476,41.10774973956424,1.7070889432264291,26.543556914836856,49.0,51.0,6.0,28.0,38.0,0.92,2018,12,14
29.627246342457912,13.882415467921142,34.51193995884998,1.9285323360110065,26.02371645967742,53.0,31.0,5.0,15.0,16.0,0.89,2019,1,14
23.026977342330284,11.23976502820812,11.787212314122163,1.9716959711626725,25.643888541987124,30.0,44.0,0.0,14.0,9.0,0.86,2019,2,14
