#Masivo Exportar - Puntos cada 1 mes(es);;;;;;
;;ACL;ESC;GAM;GAT;GTW
;;Agua Clara;Escandalosa;Gamboa;Gatun;Gatun West
;;Precipitation.Telemetria;Precipitation.Telemetria;Precipitation.Telemetria;Precipitation.Telemetria;Precipitation.Telemetria
Inicio de intervalo (UTC-05:00);Fin del intervalo (UTC-05:00);Total (mm);Total (mm);Total (mm);Total (mm);Total (mm)
2024-04-14 12:00:00;2024-05-14 12:00:00;273;421;73;127;127
2024-05-14 12:00:00;2024-06-14 12:00:00;389;327;298;440;439
2024-06-14 12:00:00;2024-07-14 12:00:00;304;290;136;359;343
2024-07-14 12:00:00;2024-08-14 12:00:00;254;245;364;298;306
2024-08-14 12:00:00;2024-09-14 12:00:00;268;175;173;216;317
2024-09-14 12:00:00;2024-10-14 12:00:00;156;146;88;173;174
2024-10-14 12:00:00;2024-11-14 12:00:00;483;522;364;669;612
2024-11-14 12:00:00;2024-12-14 12:00:00;380;340;223;320;342
2024-12-14 12:00:00;2025-01-14 12:00:00;482;332;114;370;375
2025-01-14 12:00:00;2025-02-14 12:00:00;10;76;2;37;34
2025-02-14 12:00:00;2025-03-14 12:00:00;72;62;102;30;27
2025-03-14 12:00:00;2025-04-14 12:00:00;208;164;35;157;161
2025-04-14 12:00:00;2025-05-14 12:00:00;610;802;262;282;300
2025-05-14 12:00:00;2025-06-14 12:00:00;267;597;399;303;306
2025-06-14 12:00:00;2025-07-14 12:00:00;321;387;344;229;284
2025-07-14 12:00:00;2025-08-14 12:00:00;278;271;313;260;288
2025-08-14 12:00:00;2025-09-14 12:00:00;390;431;405;236;269
2025-09-14 12:00:00;2025-10-14 12:00:00;218;176;145;110;95
2025-10-14 12:00:00;2025-11-14 12:00:00;632;469;254;575;636
2025-11-14 12:00:00;2025-12-14 12:00:00;615;823;303;862;862
2025-12-14 12:00:00;2026-01-14 12:00:00;228;363;59;293;288
2026-01-14 12:00:00;2026-02-14 12:00:00;420;304;90;281;310
2026-02-14 12:00:00;2026-03-14 12:00:00;89;274;19;97;73
2026-03-14 12:00:00;2026-04-14 12:00:00;96;129;15;143;113
2026-04-14 12:00:00;2026-05-14 12:00:00;176;230;313;197;220
2026-05-14 12:00:00;2026-06-14 12:00:00;192;329;74;162;166
